top_topic,sub_topic_1,sub_topic_2,sub_topic_3,sub_topic_4,question
Trust,Reliable,Performance,Latency Optimization,"Optimize custom UI components. Custombuilt user interface (UI) components can increase latency. To optimize performance in custom UI components, consider:","Are clientside sorting and filtering utilized for list data? For both LWC (preferred) and Aura components, developers can use standard JavaScript array functionality to sort, filter, and select values on the client side, reducing the number of required trips to the server."
Trust,Reliable,Scalability,Data Model Optimization,"Use the prebuilt data models from Salesforce. Salesforce provides prebuilt data models for Sales, Service, and a variety of industry verticals. Using the data models provided by Salesforce ensures capabilities in your system are defined only once (eliminating redundancy and silos), establishes a single source of truth across the entire system, makes it easier to understand application data with analytics, makes it easier to use Salesforce�s prebuilt artificial intelligence services, lowers maintenance costs (by reducing customizations you need to support), and reduces technical debt.",Are you using prebuilt data models from Salesforce to eliminate redundancy??
Trust,Reliable,Scalability,Data Model Optimization,Choose the right data types. Understand the different types of fields supported by Salesforce and the limitations of each. Consider reporting and encryption requirements so you can avoid the need to convert data between types in the future.,Have the right data types been chosen by supported field?
Trust,Reliable,Scalability,Data Model Optimization,"Choose the right relationships. Salesforce supports two kinds of relationships between objects: masterdetail and lookup. Masterdetail relationships offer two primary benefits: builtin rollup summary capabilities (to count and aggregate detail from child records) and builtin cascade deletion capability (deleting a parent can also delete child records). However, make sure you understand the sharing and data skew implications of masterdetail relationships before deciding to use them.",Have you chosen between masterdetail and lookup relationships?
Trust,Reliable,Scalability,Data Model Optimization,"Denormalize for scale. Normalization is the process of structuring your data model to optimize for reduced data redundancy and improved data integrity, but it can lead to scale issues. Denormalized tables can be more performant at scale, but data integrity and redundancy will need to be considered.",Are tables denormalized for scale?
Trust,Reliable,Scalability,Data Volume Management,"Distribute child records. Avoid parentchild data skew by ensuring that no parent has a large amount of child records. The general recommendation is no parent should have more than 10,000 child records. For example, in a deployment that has many Contacts but does not use Accounts, consider setting up several Accounts records and distributing related Contact records among them.",Are childrecords adequately/evenly distributed?
Trust,Reliable,Scalability,Data Volume Management,"Distribute ownership of records. Avoid ownership skew by ensuring no single user or queue (or all the members of a single role or public group) owns more than 10,000 records from the same object. �Parking� data with a �dummy user� is a practice that often leads to ownership skew. If you encounter this issue, be mindful of the impact this will have on sharing calculations. If you cannot redistribute records to relieve the ownership skew, avoid assigning the dataowning user to a role. If the org sharing model requires a role assignment, place the dataowning user in a distinct role at the top of the sharing hierarchy. Do not allow for frequent or unplanned changes in that user�s role, as any changes will have significant performance impacts due to sharing recalculations. Keep that user out of public groups that could be referenced in any sharing rules.",Is ownership of records adequately distributed?
Trust,Reliable,Scalability,Data Volume Management,"Reduce the amount of record data in Salesforce. Salesforce is designed to provide business with a single view of the customer. It can seem counterintuitive that limiting data in Salesforce could be a best practice. However, the power of that single view lies in how well it enables business users to understand and take action on customer data. As volume grows, data that is not current and not relevant to daytoday processes or analytics lead to several issues, including degraded app performance, increased data security risk, and negative impacts on search, reporting, and analytics. To avoid such issues, define a data lifecycle for every object in your data model, with timelines and classifications for data as it ages and loses immediate business value. In accordance with this data lifecycle, implement procedures to manage data over time, including:",Have data archiving and purging steps been facilitated to remove unneeded records and keep data volumes as low as possible? Use the Bulk API 2.0�s hard delete function to delete large data volumes.
Trust,Reliable,Scalability,Data Volume Management,"Reduce the amount of record data in Salesforce. Salesforce is designed to provide business with a single view of the customer. It can seem counterintuitive that limiting data in Salesforce could be a best practice. However, the power of that single view lies in how well it enables business users to understand and take action on customer data. As volume grows, data that is not current and not relevant to daytoday processes or analytics lead to several issues, including degraded app performance, increased data security risk, and negative impacts on search, reporting, and analytics. To avoid such issues, define a data lifecycle for every object in your data model, with timelines and classifications for data as it ages and loses immediate business value. In accordance with this data lifecycle, implement procedures to manage data over time, including:",How is data aggregated? Create aggregation custom objects that summarize key historical trend or summary data in a format compatible with reporting. Populate the custom objects using batch Apex. Users can then execute reports based on the aggregated object records.
Trust,Reliable,Scalability,Data Volume Management,"Reduce the amount of record data in Salesforce. Salesforce is designed to provide business with a single view of the customer. It can seem counterintuitive that limiting data in Salesforce could be a best practice. However, the power of that single view lies in how well it enables business users to understand and take action on customer data. As volume grows, data that is not current and not relevant to daytoday processes or analytics lead to several issues, including degraded app performance, increased data security risk, and negative impacts on search, reporting, and analytics. To avoid such issues, define a data lifecycle for every object in your data model, with timelines and classifications for data as it ages and loses immediate business value. In accordance with this data lifecycle, implement procedures to manage data over time, including:","Data tiering. Maintain large data sets in a different application when the data is no longer needed for Salesforce reports or daytoday work. Make the data available in Salesforce as needed via mashups, callouts, or external objects."
Trust,Reliable,Scalability,Data Volume Management,"Custom indexes. Indexes are stored in a special internal table that the platform�s query optimizer uses to speed up data access operations (for more on this, see Multitenant Indexes). The platform automatically indexes certain types of fields by default. To speed up poorperforming queries, you can request additional custom indexes by contacting Salesforce Customer Support. Use the Query Plan tool to determine whether custom indexes will improve the performance of your queries.",Are custom indexes utilized to streamline data operations?
Trust,Reliable,Scalability,Data Volume Management,"Skinny tables. If you need to further optimize queries for common sets of fields on objects with more than 1 million records, skinny tables can help. Skinny tables eliminate the background join that occurs when using custom and standard fields in a report or automation. Skinny tables must be enabled by Salesforce Customer Support.",Are skinny tables used to optimize queries on objects with greater than 1 million records?
Trust,Reliable,Scalability,Scale Testing,"Know which tests matter. You will likely have a fixed amount of time to conduct your scale or performance testing, making it impractical to test every facet of your system. Not all features are used equally, and not all scale bottlenecks will impact the business equally. Ensure your scale tests are focused on the most highly used and highly valued parts of the system. Define and understand the most important opportunities for verifying and improving scale and performance in your org.",Are scale tests are focused on the most highly used and highly valued parts of the system?
Trust,Reliable,Scalability,Scale Testing,"Know what �good enough� looks like. Defining the success criteria for your scale and performance tests is critical. You and your development teams will use these as testing benchmarks, and you should also ensure they inform the functional requirements development teams build towards in the first place. Typically these criteria include supporting a specific number of concurrent users with response times less than an agreed upon value, and your SLOs. Define your key target criteria, and design scale and performance tests that ensure the criteria are met.",Is success criteria for scale and performance testing clearly defined?
Trust,Reliable,Scalability,Scale Testing,"Ensure you have adequate environments to scale test. Scale testing requires environments that are representative of production. The data sets, request demographics, request rates, and workload characteristics should all match what you see in production as much as possible. Salesforce offers sandbox environments for development and testing, with different capacities to support data sets copied from production. You must use a Full sandbox for scale testing. If your org doesn�t have a Full sandbox available for scale testing, you will not be able to run adequate scale tests.",Is th environment adequate for scale testing (representative of production)?
